FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US29119,29119,McDonald,McDonald County,"0500000US29119.graphml",0.03686400000000001
0500000US31157,31157,Scotts Bluff,Scotts Bluff County,"0500000US31157.graphml",0.060755967999999994
0500000US35047,35047,San Miguel,San Miguel County,"0500000US35047.graphml",0.10665984
0500000US01081,01081,Lee,Lee County,"0500000US01081.graphml",0.167440384
0500000US48367,48367,Parker,Parker County,"0500000US48367.graphml",0.170319872
0500000US38021,38021,Dickey,Dickey County,"0500000US38021.graphml",0.024018944000000014
0500000US38003,38003,Barnes,Barnes County,"0500000US38003.graphml",0.03842047999999998
0500000US27143,27143,Sibley,Sibley County,"0500000US27143.graphml",0.043225087999999995
0500000US13293,13293,Upson,Upson County,"0500000US13293.graphml",0.035950592
0500000US06097,06097,Sonoma,Sonoma County,"0500000US06097.graphml",0.359481344
0500000US26033,26033,Chippewa,Chippewa County,"0500000US26033.graphml",0.05602918400000001
0500000US16019,16019,Bonneville,Bonneville County,"0500000US16019.graphml",0.145768448
0500000US13013,13013,Barrow,Barrow County,"0500000US13013.graphml",0.069226496
0500000US13183,13183,Long,Long County,"0500000US13183.graphml",0.033959935999999996
0500000US48271,48271,Kinney,Kinney County,"0500000US48271.graphml",0.053309439999999986
0500000US40115,40115,Ottawa,Ottawa County,"0500000US40115.graphml",0.065052672
0500000US42033,42033,Clearfield,Clearfield County,"0500000US42033.graphml",0.242696192
0500000US26037,26037,Clinton,Clinton County,"0500000US26037.graphml",0.06622003200000001
0500000US72133,72133,Santa Isabel,Santa Isabel Municipio,"0500000US72133.graphml",0.018722816000000003
0500000US17135,17135,Montgomery,Montgomery County,"0500000US17135.graphml",0.08571289600000001
0500000US28003,28003,Alcorn,Alcorn County,"0500000US28003.graphml",0.056164352
0500000US28071,28071,Lafayette,Lafayette County,"0500000US28071.graphml",0.0606208
0500000US22043,22043,Grant,Grant Parish,"0500000US22043.graphml",0.058052608000000006
0500000US29005,29005,Atchison,Atchison County,"0500000US29005.graphml",0.025825280000000006
0500000US17115,17115,Macon,Macon County,"0500000US17115.graphml",0.12008243200000002
0500000US26149,26149,St. Joseph,St. Joseph County,"0500000US26149.graphml",0.074899456
0500000US17055,17055,Franklin,Franklin County,"0500000US17055.graphml",0.08583987200000001
0500000US30033,30033,Garfield,Garfield County,"0500000US30033.graphml",0.007356415999999977
0500000US31001,31001,Adams,Adams County,"0500000US31001.graphml",0.05461606400000002
0500000US27109,27109,Olmsted,Olmsted County,"0500000US27109.graphml",0.16265216000000002
0500000US34039,34039,Union,Union County,"0500000US34039.graphml",0.24356044799999998
0500000US72139,72139,Trujillo Alto,Trujillo Alto Municipio,"0500000US72139.graphml",0.04333567999999999
0500000US01097,01097,Mobile,Mobile County,"0500000US01097.graphml",0.6254837759999999
